2026학년도 목일중 고입 진학현황 관리,,,,
,,,,
아래에서 자신의 반을 클릭하여 학생 정보를 입력하세요.,,,,
,,,,
반,,,,
3-1반,301, ,,https://forms.gle/h4EfrPQjYVAAWwXE6
3-2반,302,,,
3-3반,303,,, 
3-4반,304,,,
3-5반,305,,,
3-6반,306,,,
3-7반,307,,,
3-8반,308,,,
3-9반,309,,,
3-10반,310,,,
3-11반,311,,,
3-12반,312,,,
3-13반,313,,,
3-14반,314,,,
,,,,
입력 주의사항,,,,
,,,,
"학교명: 띄어쓰기/괄호 없이 정확하게 (한성과고 O, 한성 과고 X)",,,,
결과: 합격/불합격 또는 빈칸,,,,
모를 경우: ○ 표시만 하면 관리자가 확인합니다,,,,
,,,,
문의: 관리자(정명현 337)에게 연락,,,,
,,,,
📊 전체 제출 현황 대시보드,,,,
,,,,
반,전체 학생,제출완료,미제출,제출률
3-1반,29,29,0,100.00%
3-2반,31,28,3,90.32%
3-3반,31,28,3,90.32%
3-4반,30,30,0,100.00%
3-5반,30,23,7,76.67%
3-6반,30,30,0,100.00%
3-7반,30,23,7,76.67%
3-8반,30,30,0,100.00%
3-9반,32,19,12,59.38%
3-10반,30,24,6,80.00%
3-11반,30,30,0,100.00%
3-12반,31,30,1,96.77%
3-13반,30,30,0,100.00%
3-14반,31,31,0,100.00%
전체 합계,425,385,39,90.59%
